Balayage complet {b1 anchor -> meilleur b2 oppose} pour tous les b1 du pool de base (4000 candidats, t=1..100, k=+/-1..10)
N1,N2 bornes a [1,65536]. Genere le 2026-08-29 09:45:11
==============================================================================================================

--- x0 = 13.457 --- (4000 appariements b1 valides : 2000 avec sign1=+, 2000 avec sign1=-  ;  4000 avec erreur < 1e-6) ---
       err |    t1   k1  sg1 |              b1 |    t2   k2  sg2 |              b2 |      N1      N2
  4.77e-10 |    51   -7    - |    61.256200128 |    96   -3    + |    29.409797882 |    1398   46259
  4.78e-10 |    70   -8    + |    74.724754644 |     5   -3    - |    25.149034370 |    7541   64423
  4.78e-10 |     7   -5    + |    47.402850981 |    12   -3    - |    25.070835435 |   17887   57865
  4.79e-10 |    91   -1    - |     6.850452938 |     9   -4    + |    38.360152144 |    5605   16427
  4.80e-10 |    65   -5    + |    47.528360178 |     4   -3    - |    25.175002922 |   19522   64901
  4.81e-10 |    19   -1    - |     6.912103970 |     5   -4    + |    38.304007616 |    4494   13229
  4.81e-10 |    45   -2    + |    20.321806372 |    93   -4    - |    34.044052674 |    7850   21263
  4.82e-10 |    60   -8    - |    70.315510721 |    90   -3    + |    29.408140651 |    1270   54243
  4.82e-10 |    94    1    + |    -6.849618003 |    92   -4    - |    34.044330945 |    3636   36547
  4.82e-10 |    21   -6    - |    52.230167646 |    91   -3    + |    29.408428196 |    1777   41570
  4.83e-10 |    59   -1    + |    11.266432521 |    93   -4    - |    34.044052674 |   11575   59681
  4.83e-10 |    77    1    - |   -11.274466380 |     7   -4    + |    38.338130698 |    9465   49276
  4.83e-10 |    82    8    + |   -70.306268991 |    90   -4    - |    34.044901334 |    1091   29671
  4.84e-10 |    42   -1    - |     6.874944045 |     3   -4    + |    38.240062994 |    8684   25811
  4.85e-10 |    55    3    - |   -29.393570753 |    10   -4    + |    38.368597540 |    8107   60351
  4.85e-10 |   100    1    + |    -6.848062278 |    99   -4    - |    34.042472563 |    5726   57581
  4.85e-10 |    94   -1    + |    11.279822565 |    99   -4    - |    34.042472563 |    9689   49943
  4.87e-10 |    40   -8    + |    74.705652626 |     2   -3    - |    25.276441279 |    5867   51360
  4.87e-10 |    99   -5    - |    43.107192846 |   100   -3    + |    29.410818856 |    2849   38966
  4.87e-10 |    74   -3    + |    29.402774678 |    91   -4    - |    34.044613789 |   39431   10029
  4.88e-10 |    77   -5    + |    47.533347515 |     8   -3    - |    25.102869207 |   16514   54161
  4.88e-10 |    72    7    + |   -61.245221998 |    98   -4    - |    34.042725804 |    2041   50540
  4.88e-10 |    60   -5    - |    43.121349870 |    96   -3    + |    29.409797882 |    2668   36491
  4.89e-10 |    18    2    - |   -20.278948331 |     5   -4    + |    38.304007616 |    6014   38247
  4.89e-10 |    45  -10    - |    88.454837032 |    90   -3    + |    29.408140651 |     652   40485
  4.89e-10 |    71    1    + |    -6.857309732 |    89   -4    - |    34.045193710 |    3733   37521
  4.90e-10 |    57   -2    - |    15.928849211 |     9   -4    + |    38.360152144 |   28557   51353
  4.91e-10 |     6   -1    - |     7.000400527 |     2   -4    + |    38.176600707 |   17524   52227
  4.91e-10 |    20    1    + |    -6.909231342 |    95   -4    - |    34.043509368 |    5317   53541
  4.92e-10 |    56    8    + |   -70.317753731 |    91   -4    - |    34.044613789 |    1902   51737
  4.92e-10 |    85    1    + |    -6.852253503 |    96   -4    - |    34.043244103 |    3866   38873
  4.92e-10 |    34    8    - |   -74.699028908 |    12   -4    + |    38.382206550 |    4046   52873
  4.93e-10 |    97    3    + |   -24.978262666 |    96   -4    - |    34.043244103 |    4135   61839
  4.94e-10 |    92   -2    - |    15.914890377 |     8   -4    + |    38.350172779 |   12455   22447
  4.94e-10 |    28    2    + |   -15.956824737 |    93   -4    - |    34.044052674 |    4831   60453
  4.95e-10 |    93   -5    + |    47.538429879 |    10   -3    - |    25.084444446 |   16424   53693
  4.95e-10 |    92   -7    + |    65.667592175 |     8   -3    - |    25.102869207 |    4825   32519
  4.96e-10 |    37    3    + |   -25.009380925 |    97   -4    - |    34.042982950 |    2844   42559
  4.97e-10 |    35   -5    + |    47.506089205 |     8   -3    - |    25.102869207 |   11428   37421
  4.97e-10 |    13   -8    + |    74.646683340 |     5   -3    - |    25.149034370 |    5053   43092
  4.98e-10 |    50   -7    - |    61.256889807 |    89   -3    + |    29.407848275 |     565   18657
  5.00e-10 |    86    1    - |   -11.277500192 |     8   -4    + |    38.350172779 |    8914   46341
  5.01e-10 |    76    1    - |   -11.274096413 |    11   -4    + |    38.375865549 |   11623   60226
  5.02e-10 |    28    7    - |   -65.625657816 |     7   -4    + |    38.338130698 |    5384   64635
  5.02e-10 |    90    4    - |   -38.472860935 |     7   -4    + |    38.338130698 |    7503   64589
  5.03e-10 |    59   -3    - |    24.992448614 |     7   -4    + |    38.338130698 |   65140   43607
  5.03e-10 |    51    6    - |   -56.585163560 |     9   -4    + |    38.360152144 |    4244   46023
  5.03e-10 |    39   -7    - |    61.266148490 |    92   -3    + |    29.408711041 |     763   25226
  5.04e-10 |    46   -8    + |    74.710934464 |     4   -3    - |    25.175002922 |    1483   12729
  5.05e-10 |    95    2    - |   -20.344812334 |     2   -4    + |    38.176600707 |    2089   13519
  5.05e-10 |    58    1    + |    -6.863561242 |    96   -4    - |    34.043244103 |    3594   36149
  5.06e-10 |    86    2    + |   -15.916660659 |    92   -4    - |    34.044330945 |    2836   35455
  5.06e-10 |    98    6    + |   -52.172166371 |    98   -4    - |    34.042725804 |    2321   51780
  5.06e-10 |    80   -8    + |    74.728576348 |     1   -3    - |    25.418200133 |    6395   57623
  5.07e-10 |    59    2    + |   -15.927728330 |    94   -4    - |    34.043778854 |    4003   50064
  5.07e-10 |    32   -5    + |    47.502256310 |     3   -3    - |    25.212978992 |   18833   62978
  5.07e-10 |    24   -7    - |    61.287916923 |   100   -3    + |    29.410818856 |    1817   60251
  5.08e-10 |     9    4    + |   -34.157610125 |    91   -4    - |    34.044613789 |    3356   58495
  5.09e-10 |    87   -6    + |    56.601409325 |     6   -3    - |    25.129841095 |   11791   59377
  5.10e-10 |    13    5    + |   -43.194680347 |    96   -4    - |    34.043244103 |    2711   53893
  5.10e-10 |    26  -10    - |    88.478116341 |    93   -3    + |    29.408989312 |     675   41968
  5.11e-10 |     6   -9    - |    79.518162797 |    92   -3    + |    29.408711041 |    1112   58465
  5.12e-10 |    34    5    + |   -43.142334779 |    90   -4    - |    34.044901334 |    3181   63163
  5.12e-10 |    26   -1    + |    11.233806779 |    98   -4    - |    34.042725804 |    5609   28980
  5.12e-10 |    46   -1    + |    11.257892479 |   100   -4    - |    34.042223129 |   10927   56393
  5.13e-10 |     8   -7    + |    65.544333630 |    10   -3    - |    25.084444446 |    2515   16832
  5.14e-10 |    77   -6    + |    56.598067798 |     8   -3    - |    25.102869207 |   11800   59109
  5.16e-10 |    30  -10    + |    92.822989145 |     5   -3    - |    25.149034370 |    5180   62299
  5.16e-10 |    73    5    + |   -43.115380434 |    89   -4    - |    34.045193710 |    3298   65457
  5.17e-10 |    97   -2    + |    20.345338752 |    96   -4    - |    34.043244103 |   21154   57177
  5.18e-10 |     8    4    - |   -38.350172779 |    12   -4    + |    38.382206550 |    4156   35517
  5.18e-10 |    20    8    + |   -70.362273327 |    96   -4    - |    34.043244103 |    2309   62859
  5.19e-10 |    70   -9    + |    83.789474928 |     5   -3    - |    25.149034370 |    5015   51594
  5.20e-10 |    39    3    + |   -25.007267355 |    98   -4    - |    34.042725804 |    2026   30319
  5.20e-10 |    62   -1    - |     6.861429510 |     4   -4    + |    38.278039063 |   13507   39977
  5.20e-10 |    59   -7    + |    65.654754222 |     5   -3    - |    25.149034370 |    6575   44691
  5.21e-10 |    73    8    - |   -74.725983254 |    11   -4    + |    38.375865549 |    4777   62491
  5.21e-10 |    78    5    + |   -43.113492490 |    94   -4    - |    34.043778854 |    3101   61569
  5.21e-10 |    54   -7    - |    61.254247267 |    89   -3    + |    29.407848275 |     543   17929
  5.22e-10 |    23    3    - |   -29.357114281 |     9   -4    + |    38.360152144 |    5735   42712
  5.23e-10 |    89    3    + |   -24.980473427 |   100   -4    - |    34.042223129 |    3602   53885
  5.23e-10 |    73   -6    + |    56.596542686 |    10   -3    - |    25.084444446 |    9418   47009
  5.23e-10 |    45   -3    - |    25.001795047 |     5   -4    + |    38.304007616 |   28002   18793
  5.24e-10 |     1  -10    - |    88.871242119 |    96   -3    + |    29.409797882 |     987   61835
  5.25e-10 |    89   -5    + |    47.537288842 |     5   -3    - |    25.149034370 |   10733   35522
  5.26e-10 |    81    4    + |   -34.047724312 |    96   -4    - |    34.043244103 |    3093   53839
  5.26e-10 |    52   -1    - |     6.867208730 |     1   -4    + |    38.034841852 |   19633   59931
  5.28e-10 |    75   -8    - |    70.308763481 |    95   -3    + |    29.409532618 |    1363   58292
  5.28e-10 |     2   -6    + |    56.306041274 |     4   -3    - |    25.175002922 |    9759   49016
  5.29e-10 |    20   -6    - |    52.232832760 |    98   -3    + |    29.410316182 |    1558   36525
  5.29e-10 |    85    8    + |   -70.305295488 |    89   -4    - |    34.045193710 |    1693   46039
  5.30e-10 |    14    1    + |    -6.930813467 |    94   -4    - |    34.043778854 |    3833   38617
  5.30e-10 |    27   -7    - |    61.282141833 |    92   -3    + |    29.408711041 |     953   31524
  5.30e-10 |    65   -9    + |    83.787241312 |     9   -3    - |    25.092889842 |    3104   31591
  5.31e-10 |    50    1    + |    -6.868568105 |   100   -4    - |    34.042223129 |    5475   55091
  5.31e-10 |    70   -6    + |    56.595314077 |     9   -3    - |    25.092889842 |    8676   43373
  5.31e-10 |    92    8    - |   -74.732312459 |     8   -4    + |    38.350172779 |    2765   36289
  5.32e-10 |    78   -8    + |    74.727871197 |     2   -3    - |    25.276441279 |    2016   17657
  5.33e-10 |    10   -8    + |    74.627478674 |    11   -3    - |    25.077176436 |    3223   27099
  5.35e-10 |    31    4    + |   -34.081625852 |    94   -4    - |    34.043778854 |    1720   29951
  5.36e-10 |    45   -6    + |    56.580687506 |    10   -3    - |    25.084444446 |    9987   49819
  5.38e-10 |    79    4    + |   -34.048416285 |    89   -4    - |    34.045193710 |    2924   50871
  5.38e-10 |    75   -6    + |    56.597320491 |     8   -3    - |    25.102869207 |   11985   60034
  5.38e-10 |    38   -5    + |    47.509458977 |     7   -3    - |    25.114911288 |   10616   34849
  5.38e-10 |    57  -10    - |    88.446611480 |    89   -3    + |    29.407848275 |     673   41770
  5.39e-10 |    73   -5    - |    43.115380434 |    99   -3    + |    29.410569423 |     601    8223
  5.40e-10 |    28    9    + |   -79.409866723 |    99   -4    - |    34.042472563 |    1365   40507
  5.40e-10 |    55   -1    - |     6.865310382 |     6   -4    + |    38.323200891 |    7320   21539
  5.41e-10 |    45    3    + |   -25.001795047 |    97   -4    - |    34.042982950 |    4286   64129
  5.41e-10 |    18   -7    + |    65.602549750 |     9   -3    - |    25.092889842 |    6161   41368
  5.42e-10 |    33   -1    - |     6.884729854 |     2   -4    + |    38.176600707 |   14026   42009
  5.42e-10 |    47   -5    + |    47.517554140 |     8   -3    - |    25.102869207 |   16477   53990
  5.42e-10 |    66    3    + |   -24.988935142 |    97   -4    - |    34.042982950 |    3728   55767
  5.43e-10 |    86   -6    - |    52.175541793 |    99   -3    + |    29.410569423 |    1861   43526
  5.43e-10 |    13    1    + |    -6.935799212 |    93   -4    - |    34.044052674 |    6015   60604
  5.43e-10 |    45   -9    - |    79.390116749 |   100   -3    + |    29.410818856 |     733   38525
  5.43e-10 |    20  -10    - |    88.491713894 |    89   -3    + |    29.407848275 |     863   53604
  5.44e-10 |    60    2    + |   -15.927189019 |    92   -4    - |    34.044330945 |     434    5427
  5.44e-10 |    15    5    + |   -43.185215454 |   100   -4    - |    34.042223129 |    2685   53384
  5.45e-10 |    23    7    + |   -61.290088556 |    98   -4    - |    34.042725804 |    2408   59657
  5.46e-10 |    41   -2    + |    20.318291107 |    96   -4    - |    34.043244103 |   18658   50567
  5.48e-10 |    41   10    + |   -88.458352297 |    90   -4    - |    34.044901334 |    1407   45166
  5.49e-10 |    63    3    + |   -24.990369116 |   100   -4    - |    34.042223129 |    1570   23491
  5.50e-10 |    54   -9    + |    83.781277271 |    10   -3    - |    25.084444446 |    5455   55423
  5.50e-10 |    35  -10    + |    92.829690624 |     2   -3    - |    25.276441279 |    2617   32269
  5.52e-10 |    81   -8    - |    70.306605447 |   100   -3    + |    29.410818856 |     665   28478
  5.53e-10 |    83   -2    - |    15.917616931 |     1   -4    + |    38.034841852 |   21753   40804
  5.53e-10 |    14   -5    + |    47.457508235 |    10   -3    - |    25.084444446 |   19177   62398
  5.54e-10 |    66   -2    - |    15.924214859 |     7   -4    + |    38.338130698 |   33399   60245
  5.54e-10 |    36   -7    + |    65.636699707 |     9   -3    - |    25.092889842 |    5853   39338
  5.54e-10 |    26   -6    - |    52.219235206 |   100   -3    + |    29.410818856 |     813   19058
  5.55e-10 |    62    1    + |    -6.861429510 |    98   -4    - |    34.042725804 |    6171   62074
  5.56e-10 |    88    3    - |   -29.407550930 |     5   -4    + |    38.304007616 |    4251   31910
  5.56e-10 |    67   -2    - |    15.923758400 |     5   -4    + |    38.304007616 |   31606   57257
  5.57e-10 |    57    7    - |   -65.653633342 |     6   -4    + |    38.323200891 |    2227   26793
  5.57e-10 |    30   -6    - |    52.212535394 |    96   -3    + |    29.409797882 |     296    6929
  5.59e-10 |    56   -1    - |     6.864711745 |     2   -4    + |    38.176600707 |    6346   19023
  5.59e-10 |    66   -1    + |    11.269945992 |    92   -4    - |    34.044330945 |    6665   34356
  5.60e-10 |    84    3    - |   -29.406308930 |     2   -4    + |    38.176600707 |    7729   58960
  5.60e-10 |    67    9    - |   -83.788164720 |     1   -4    + |    38.034841852 |    4294   63723
  5.62e-10 |    64   -9    - |    79.378201641 |    91   -3    + |    29.408428196 |     932   48847
  5.63e-10 |    64   -1    - |     6.860439372 |     3   -4    + |    38.240062994 |   17673   52561
  5.63e-10 |    65   10    - |   -92.851961596 |     8   -4    + |    38.350172779 |     307    4724
  5.64e-10 |   100   -5    + |    47.540259424 |     3   -3    - |    25.212978992 |    6502   21791
  5.65e-10 |    58   -5    - |    43.122442377 |    94   -3    + |    29.409263132 |    3616   49433
  5.67e-10 |    55  -10    - |    88.447792935 |    98   -3    + |    29.410316182 |    1036   64471
  5.67e-10 |    77   -2    + |    20.339186664 |    99   -4    - |    34.042472563 |   16288   44061
  5.67e-10 |    67   -5    - |    43.117919251 |    96   -3    + |    29.409797882 |    4654   63637
  5.68e-10 |     5    9    - |   -83.627609034 |    11   -4    + |    38.375865549 |    1569   22264
  5.68e-10 |    73   -7    - |    61.244821001 |    95   -3    + |    29.409532618 |    1813   59952
  5.69e-10 |    12  -10    + |    92.770528252 |     9   -3    - |    25.092889842 |    2273   27022
  5.70e-10 |    75  -10    + |    92.856201625 |     6   -3    - |    25.129841095 |    4789   57415
  5.70e-10 |     2   -9    - |    79.664762981 |    89   -3    + |    29.407848275 |     707   37248
  5.71e-10 |    87   -4    + |    38.471968758 |    10   -3    - |    25.084444446 |   30757   47531
  5.71e-10 |    71    4    + |   -34.051470583 |    92   -4    - |    34.044330945 |    1905   33152
  5.71e-10 |    74   -9    + |    83.791096380 |     6   -3    - |    25.129841095 |    5300   54327
  5.72e-10 |    45    9    - |   -83.774848357 |     1   -4    + |    38.034841852 |    2764   41013
  5.72e-10 |    90   -8    + |    74.731742070 |    12   -3    - |    25.070835435 |    7166   60321
  5.72e-10 |    26   -7    - |    61.283955490 |    98   -3    + |    29.410316182 |    1469   48679
  5.72e-10 |    65    6    + |   -52.183562943 |    90   -4    - |    34.044901334 |    1313   29279
  5.74e-10 |   100   -1    - |     6.848062278 |     6   -4    + |    38.323200891 |   15013   44208
  5.75e-10 |    69    4    + |   -34.052315992 |    94   -4    - |    34.043778854 |    1211   21078
  5.76e-10 |    85   10    + |   -88.434736056 |    89   -4    - |    34.045193710 |    1076   34531
  5.76e-10 |    28   -6    + |    56.560937532 |    10   -3    - |    25.084444446 |   11711   58375
  5.77e-10 |    69   -5    + |    47.530166561 |     4   -3    - |    25.175002922 |   10183   33857
  5.78e-10 |    45   -1    + |    11.257086088 |    92   -4    - |    34.044330945 |    6841   35287
  5.79e-10 |    81   -7    + |    65.664198808 |     1   -3    - |    25.418200133 |    6653   47705
  5.80e-10 |    60    2    - |   -20.331692116 |     4   -4    + |    38.278039063 |    2361   15080
  5.80e-10 |    48    3    + |   -24.999452113 |    91   -4    - |    34.044613789 |    1987   29716
  5.81e-10 |    61   -5    - |    43.120823870 |    93   -3    + |    29.408989312 |    4330   59169
  5.83e-10 |    83    4    + |   -34.047057498 |    93   -4    - |    34.044052674 |    2627   45717
  5.84e-10 |    68    1    - |   -11.270848807 |     3   -4    + |    38.240062994 |    2767   14583
  5.84e-10 |    54   -8    - |    70.318967551 |    92   -3    + |    29.408711041 |    1408   60179
  5.84e-10 |    25    1    + |    -6.897555120 |    99   -4    - |    34.042472563 |    5789   58292
  5.84e-10 |    33    3    + |   -25.014170421 |    96   -4    - |    34.043244103 |    3090   46241
  5.85e-10 |    47   -9    - |    79.388529831 |    90   -3    + |    29.408140651 |    1089   57070
  5.86e-10 |    43   -5    + |    47.514270889 |     9   -3    - |    25.092889842 |   19371   63340
  5.86e-10 |    41   -7    + |    65.641892525 |     8   -3    - |    25.102869207 |    7115   47918
  5.88e-10 |    35    1    - |   -11.247208071 |     8   -4    + |    38.350172779 |    7871   40889
  5.89e-10 |    71  -10    + |    92.854613388 |    10   -3    - |    25.084444446 |    5024   59711
  5.89e-10 |    68    5    - |   -47.529729941 |     1   -4    + |    38.034841852 |     486    4921
  5.90e-10 |    98    1    - |   -11.280875614 |     3   -4    + |    38.240062994 |    5961   31424
  5.91e-10 |    15   -6    - |    52.249935738 |    99   -3    + |    29.410569423 |     739   17343
  5.92e-10 |    87   -8    + |    74.730849893 |     2   -3    - |    25.276441279 |    4573   40055
  5.92e-10 |    96   -6    - |    52.172684670 |    94   -3    + |    29.409263132 |    1613   37668
  5.93e-10 |    78    3    - |   -29.404269779 |     5   -4    + |    38.304007616 |    4045   30362
  5.93e-10 |    35   -8    - |    70.335274482 |    89   -3    + |    29.407848275 |    1362   58183
  5.93e-10 |    61   -6    - |    52.185544154 |    90   -3    + |    29.408140651 |    1616   37715
  5.93e-10 |    75   -7    + |    65.662040774 |    11   -3    - |    25.077176436 |    5176   34709
  5.94e-10 |    61  -10    + |    92.849980384 |    10   -3    - |    25.084444446 |    4571   54323
  5.94e-10 |    39   10    - |   -92.834096332 |     3   -4    + |    38.240062994 |    3247   50653
  5.95e-10 |    71   -6    - |    52.180911151 |    96   -3    + |    29.409797882 |    1843   43080
  5.96e-10 |     4   -9    + |    83.601640482 |     4   -3    - |    25.175002922 |    5513   56802
  5.96e-10 |    58   -1    + |    11.265879325 |    99   -4    - |    34.042472563 |    8707   44914
  5.98e-10 |    35    3    - |   -29.376648638 |    12   -4    + |    38.382206550 |    5980   44429
  5.98e-10 |    83   -2    + |    20.341264204 |    91   -4    - |    34.044613789 |   19875   53722
  5.99e-10 |     3   -7    + |    65.434223845 |    12   -3    - |    25.070835435 |    6625   44086
  5.99e-10 |    77   -7    - |    61.243295889 |    95   -3    + |    29.409532618 |    1903   62925
  6.00e-10 |    65   -5    - |    43.118842659 |    99   -3    + |    29.410569423 |    2391   32723
  6.00e-10 |    40   -5    + |    47.511491775 |     9   -3    - |    25.092889842 |   11084   36237
  6.00e-10 |    59    1    + |    -6.863008047 |    96   -4    - |    34.043244103 |    1362   13699
  6.02e-10 |    78   -6    + |    56.598430630 |     8   -3    - |    25.102869207 |    3331   16686
  6.03e-10 |    77  -10    - |    88.437456740 |    93   -3    + |    29.408989312 |     632   39267
  6.03e-10 |    19    5    + |   -43.170985104 |    99   -4    - |    34.042472563 |    2181   43352
  6.03e-10 |    23   10    + |   -88.484249407 |    98   -4    - |    34.042725804 |    1522   48897
  6.04e-10 |    57    5    + |   -43.123010062 |    98   -4    - |    34.042725804 |    1341   26636
  6.04e-10 |    25   10    - |   -92.814368000 |     1   -4    + |    38.034841852 |    3006   48137
  6.04e-10 |    55   -8    - |    70.318352368 |    90   -3    + |    29.408140651 |     633   27038
  6.04e-10 |     1    6    - |   -56.164282420 |     3   -4    + |    38.240062994 |    4238   46431
  6.05e-10 |    17   -8    + |    74.663891394 |     1   -3    - |    25.418200133 |    5203   46814
  6.06e-10 |   100    2    + |   -15.912782562 |    97   -4    - |    34.042982950 |    1423   17795
  6.07e-10 |    21   -9    - |    79.424328497 |    98   -3    + |    29.410316182 |     196   10303
  6.09e-10 |    74  -10    + |    92.855816664 |     4   -3    - |    25.175002922 |    2831   34237
  6.09e-10 |    87   -8    - |    70.304674646 |    90   -3    + |    29.408140651 |    1261   53844
  6.10e-10 |    12   -1    - |     6.941394868 |     5   -4    + |    38.304007616 |   10454   30735
  6.10e-10 |    39    1    + |    -6.877826788 |    97   -4    - |    34.042982950 |    4847   48774
  6.10e-10 |    94   -1    - |     6.849618003 |     7   -4    + |    38.338130698 |   18871   55461
  6.11e-10 |    79   -7    + |    65.663506835 |     4   -3    - |    25.175002922 |    6549   44749
  6.12e-10 |    69   10    - |   -92.853767979 |    12   -4    + |    38.382206550 |    3231   49520
  6.13e-10 |    66    6    - |   -56.593547411 |     1   -4    + |    38.034841852 |    4312   48743
  6.13e-10 |    22   -5    + |    47.484236913 |     8   -3    - |    25.102869207 |   13169   43067
  6.13e-10 |    86    4    - |   -38.471661043 |     6   -4    + |    38.323200891 |    3831   33040
  6.16e-10 |     9    2    - |   -20.230711577 |     8   -4    + |    38.350172779 |    8777   55444
  6.16e-10 |    47   -8    - |    70.323809548 |    93   -3    + |    29.408989312 |    1529   65378
  6.16e-10 |     7   -8    + |    74.597011832 |     7   -3    - |    25.114911288 |    4738   40097
  6.17e-10 |    25   -2    - |    15.962275404 |     8   -4    + |    38.350172779 |   17273   31028
  6.18e-10 |    99    4    + |   -34.042472563 |    93   -4    - |    34.044052674 |    2797   48672
  6.18e-10 |    32    1    - |   -11.243375176 |     4   -4    + |    38.278039063 |    8074   42321
  6.20e-10 |    91   -6    - |    52.174054357 |    99   -3    + |    29.410569423 |    2383   55731
  6.20e-10 |    28   -7    - |    61.280426155 |    97   -3    + |    29.410059035 |     634   21001
  6.21e-10 |    38    5    - |   -47.509458977 |     7   -4    + |    38.338130698 |    2439   23753
  6.22e-10 |    61   -7    - |    61.250264438 |    98   -3    + |    29.410316182 |    1755   58093
  6.22e-10 |    86   -9    + |    83.795262462 |     9   -3    - |    25.092889842 |    3960   40309
  6.24e-10 |    36   -5    + |    47.507259140 |     1   -3    - |    25.418200133 |    5147   17934
  6.25e-10 |    91   -2    - |    15.915173222 |     6   -4    + |    38.323200891 |   25937   46902
  6.26e-10 |    77   -8    + |    74.727508366 |     4   -3    - |    25.175002922 |    7354   63145
  6.26e-10 |    84    1    - |   -11.276868363 |     1   -4    + |    38.034841852 |    2861   15483
  6.27e-10 |    69    6    + |   -52.181756559 |   100   -4    - |    34.042223129 |    2197   49026
  6.28e-10 |     1    2    + |   -16.353479850 |    92   -4    - |    34.044330945 |    4674   58985
  6.30e-10 |    20   -1    - |     6.909231342 |     3   -4    + |    38.240062994 |   21499   63807
  6.32e-10 |    11   -7    - |    61.336057571 |    99   -3    + |    29.410569423 |    1295   42997
  6.32e-10 |    31    1    + |    -6.887465001 |    94   -4    - |    34.043778854 |    6254   62935
  6.33e-10 |    12   -8    + |    74.641087685 |     6   -3    - |    25.129841095 |    4819   40940
  6.33e-10 |    18    8    - |   -74.667270033 |     3   -4    + |    38.240062994 |    1240   16491
  6.34e-10 |    61   -1    - |     6.861942736 |    10   -4    + |    38.368597540 |   15419   45120
  6.36e-10 |    84    9    - |   -83.794630632 |    11   -4    + |    38.375865549 |    2387   33921
  6.36e-10 |    61   -9    - |    79.379705005 |    89   -3    + |    29.407848275 |    1205   63118
  6.39e-10 |    23   -5    - |    43.160647989 |    91   -3    + |    29.408428196 |    4366   59811
  6.39e-10 |    62   10    - |   -92.850493610 |    10   -4    + |    38.368597540 |    3533   54239
  6.40e-10 |    95   -8    + |    74.733134036 |     6   -3    - |    25.129841095 |    5458   46465
  6.41e-10 |    59   -9    - |    79.380770316 |    99   -3    + |    29.410569423 |     339   17809
  6.41e-10 |    87   -1    - |     6.851632660 |     4   -4    + |    38.278039063 |   18929   56048
  6.42e-10 |    10   -2    + |    20.239156973 |    99   -4    - |    34.042472563 |   15827   43242
  6.42e-10 |     7   -8    - |    70.438512706 |    95   -3    + |    29.409532618 |    1355   58138
  6.43e-10 |     7    3    + |   -25.114911288 |    89   -4    - |    34.045193710 |    2635   39483
  6.43e-10 |     6   -5    + |    47.387921175 |     1   -3    - |    25.418200133 |    8591   29726
  6.44e-10 |    20   -2    - |    15.973951625 |     5   -4    + |    38.304007616 |   16172   29195
  6.44e-10 |    27    5    + |   -43.152701266 |    91   -4    - |    34.044613789 |    2505   49751
  6.45e-10 |    93    8    + |   -70.302933808 |    90   -4    - |    34.044901334 |    1726   46939
  6.45e-10 |    96   -7    + |    65.668679017 |     8   -3    - |    25.102869207 |    9081   61205
  6.47e-10 |    20    5    + |   -43.168112476 |    97   -4    - |    34.042982950 |    2413   47955
  6.48e-10 |    99   -8    + |    74.734170841 |     5   -3    - |    25.149034370 |    7147   61070
  6.48e-10 |    20    8    - |   -74.673251211 |     6   -4    + |    38.323200891 |    2299   30258
  6.48e-10 |    91   -5    - |    43.109334073 |    94   -3    + |    29.409263132 |    4639   63353
  6.49e-10 |    68  -10    - |    88.441074314 |    93   -3    + |    29.408989312 |     429   26656
  6.49e-10 |    20   -7    - |    61.297553043 |    99   -3    + |    29.410569423 |     863   28618
  6.49e-10 |    53    8    - |   -74.715924481 |    10   -4    + |    38.368597540 |    4933   64584
  6.50e-10 |    49   -9    - |    79.387041052 |    97   -3    + |    29.410059035 |    1006   52827
  6.50e-10 |    44   -2    - |    15.937908478 |    12   -4    + |    38.382206550 |   20929   37509
  6.50e-10 |    75    1    - |   -11.273719072 |     4   -4    + |    38.278039063 |   10197   53488
  6.50e-10 |    87    2    + |   -15.916352944 |    96   -4    - |    34.043244103 |    5044   63077
  6.50e-10 |    42   -5    + |    47.513377657 |     7   -3    - |    25.114911288 |   18685   61351
  6.51e-10 |    80  -10    - |    88.436388758 |    94   -3    + |    29.409263132 |     155    9633
  6.51e-10 |    33    8    + |   -70.337771839 |    98   -4    - |    34.042725804 |    2139   58225
  6.51e-10 |    18    1    + |    -6.915212520 |    92   -4    - |    34.044330945 |    2704   27227
  6.52e-10 |    32    5    - |   -47.502256310 |    11   -4    + |    38.375865549 |    5266   51039
  6.52e-10 |    74    5    + |   -43.114987591 |    90   -4    - |    34.044901334 |    1185   23521
  6.52e-10 |    35    4    - |   -38.441368922 |     4   -4    + |    38.278039063 |    5915   51281
  6.53e-10 |    55   -8    + |    74.717172171 |    11   -3    - |    25.077176436 |    2868   24163
  6.54e-10 |    30   -9    - |    79.406696245 |    94   -3    + |    29.409263132 |     723   37949
  6.55e-10 |    22   -3    - |    25.033525356 |    12   -4    + |    38.382206550 |   44851   29631
  6.55e-10 |    49    6    + |   -52.192880201 |    91   -4    - |    34.044613789 |    2777   61937
  6.56e-10 |    87    5    + |   -43.110513795 |    98   -4    - |    34.042725804 |     441    8758
  6.56e-10 |    87    2    - |   -20.342528191 |     3   -4    + |    38.240062994 |    6703   43028
  6.57e-10 |    77   -8    - |    70.308016173 |    93   -3    + |    29.408989312 |    1003   42870
  6.58e-10 |    32    4    + |   -34.080226242 |    94   -4    - |    34.043778854 |    3063   53336
  6.58e-10 |    12   -7    + |    65.576367401 |     1   -3    - |    25.418200133 |    6454   46163
